company,security,CNPJ
CIA PARANAENSE DE ENERGIA – COPEL,CPLE6,76.483.817/0001-20
CIA PARANAENSE DE ENERGIA – COPEL, CPLE5,76.483.817/0001-20
CIA PARANAENSE DE ENERGIA – COPEL, CPLE3,76.483.817/0001-20
CIA PARTICIPACOES ALIANCA DA BAHIA,PEAB3,01.938.783/0001-11
CIA PARTICIPACOES ALIANCA DA BAHIA, PEAB4,01.938.783/0001-11
CIA PAULISTA DE FORCA E LUZ,#N/D,33.050.196/0001-88
CIA PIRATININGA DE FORCA E LUZ,#N/D,04.172.213/0001-51
CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,43.776.517/0001-80
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,17.281.106/0001-03
CIA SANEAMENTO DO PARANA – SANEPAR,SAPR4,76.484.013/0001-45
CIA SANEAMENTO DO PARANA – SANEPAR, SAPR3,76.484.013/0001-45
CIA SANEAMENTO DO PARANA – SANEPAR, SAPR11,76.484.013/0001-45
CIA SEGUROS ALIANCA DA BAHIA,CSAB3,15.144.017/0001-90
CIA SEGUROS ALIANCA DA BAHIA, CSAB4,15.144.017/0001-90
CIA SIDERURGICA NACIONAL,CSNA3,33.042.730/0001-04
CIA TECIDOS NORTE DE MINAS COTEMINAS,CTNM4,22.677.520/0001-76
CIA TECIDOS NORTE DE MINAS COTEMINAS, CTNM3,22.677.520/0001-76
CIA TECIDOS SANTANENSE,CTSA3,21.255.567/0001-89
CIA TECIDOS SANTANENSE, CTSA4,21.255.567/0001-89
CIA TECIDOS SANTANENSE, CTSA8,21.255.567/0001-89
CIBRASEC – COMPANHIA BRASILEIRA DE SECURITIZACAO,#N/D,02.105.040/0001-23
CIELO S.A.,CIEL3,01.027.058/0001-91
CIMS S.A.,CMSA3,00.272.185/0001-93
CIMS S.A., CMSA4,00.272.185/0001-93
CINESYSTEM S.A.,CNSY3,07.437.016/0001-05
COGNA EDUCAÇÃO S.A.,COGN3,02.800.026/0001-40
CONC AUTO RAPOSO TAVARES S.A.,#N/D,10.531.501/0001-58
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,#N/D,15.578.569/0001-06
CONC ECOVIAS IMIGRANTES S.A.,#N/D,02.509.491/0001-26
CONC RIO-TERESOPOLIS S.A.,CRTE3B,00.938.574/0001-05
